Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[10, 1, 4, 0, 0]
[34, 12, 4, 1, 1]
[10, 6, 4, 1, 2]
[20, 6, 6, 0, 0]
[34, 1, 7, 0, 0]
[34, 6, 3, 0, 3]
[20, 6, 4, 0, 0]
[10, 1, 4, 0, 0]
[10, 6, 4, 2, 2]
[10, 12, 2, 0, 3]
[20, 1, 0, 0, 5]
[34, 6, 5, 0, 0]
[10, 12, 4, 1, 2]
[20, 12, 2, 2, 2]
[34, 12, 6, 1, 1]
[20, 12, 1, 0, 2]
[20, 1, 2, 1, 4]
[34, 1, 4, 0, 0]
