Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[34, 6, 7, 0, 0]
[20, 12, 5, 1, 1]
[20, 1, 3, 1, 1]
[34, 12, 2, 1, 5]
[20, 6, 5, 0, 0]
[34, 12, 5, 1, 1]
[10, 6, 6, 1, 2]
[10, 12, 3, 0, 0]
[20, 1, 4, 1, 1]
[20, 12, 7, 0, 0]
[10, 12, 4, 0, 4]
[34, 1, 6, 1, 1]
[10, 1, 0, 0, 4]
[10, 1, 4, 0, 0]
[34, 6, 4, 1, 1]
[34, 1, 8, 0, 0]
[10, 6, 6, 1, 1]
[20, 6, 3, 0, 2]
[3, 0, 2]
