Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[10, 12, 1, 0, 4]
[10, 1, 3, 0, 5]
[20, 12, 0, 0, 4]
[34, 1, 0, 0, 5]
[34, 6, 4, 0, 0]
[10, 1, 2, 0, 5]
[20, 6, 3, 1, 1]
[20, 1, 1, 0, 2]
[20, 12, 0, 0, 3]
[10, 6, 6, 0, 0]
[34, 12, 3, 0, 0]
[34, 12, 4, 0, 1]
[34, 1, 5, 0, 1]
[10, 6, 3, 1, 1]
[20, 6, 4, 1, 5]
[34, 6, 2, 0, 3]
[20, 1, 5, 0, 0]
[10, 12, 3, 0, 5]
[3, 0, 5]
