Participant 1

Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[20, 12, 1, 1, 4]
[34, 6, 3, 0, 1]
[10, 1, 6, 0, 0]
[20, 12, 3, 0, 1]
[34, 12, 2, 0, 3]
[10, 6, 3, 0, 1]
[34, 1, 4, 0, 0]
[10, 6, 6, 1, 1]
[10, 1, 3, 0, 0]
[20, 1, 4, 1, 0]
[20, 6, 6, 0, 0]
[20, 1, 6, 0, 0]
[10, 12, 7, 0, 1]
[10, 12, 4, 1, 1]
[34, 1, 0, 1, 2]
[34, 6, 2, 0, 1]
[20, 6, 5, 0, 0]
[34, 12, 7, 0, 0]
