Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[20, 12, 4, 0, 0]
[20, 1, 5, 1, 1]
[10, 6, 3, 0, 0]
[34, 6, 3, 0, 0]
[34, 1, 5, 0, 0]
[20, 6, 5, 0, 0]
[34, 12, 4, 0, 0]
[10, 12, 2, 1, 4]
[20, 12, 4, 0, 0]
[20, 1, 4, 0, 0]
[34, 6, 3, 0, 0]
[34, 12, 5, 0, 2]
[10, 6, 2, 0, 1]
[10, 1, 4, 0, 1]
[10, 1, 5, 0, 0]
[34, 1, 3, 1, 1]
[10, 12, 6, 0, 4]
[20, 6, 6, 0, 0]
