Results:
fov, latency, ncorrect, nfalsepos, nfalseneg
[10, 1, 7, 0, 0]
[34, 6, 7, 0, 1]
[20, 1, 7, 0, 0]
[10, 6, 4, 0, 1]
[10, 6, 6, 0, 0]
[20, 6, 5, 0, 0]
[34, 12, 1, 1, 3]
[10, 12, 3, 0, 1]
[20, 12, 7, 0, 0]
[20, 12, 7, 0, 0]
[20, 1, 5, 0, 0]
[34, 6, 6, 0, 0]
[20, 6, 7, 1, 1]
[34, 1, 1, 0, 6]
[34, 12, 4, 0, 0]
[34, 1, 3, 1, 1]
[10, 1, 4, 0, 0]
[10, 12, 5, 1, 3]
[5, 1, 3]
