id	condition	fov	latency	ncorrect	nfalsepos	nfalseneg	recall	precision
1	4	20	12	1	1	4	0.2	0.5
1	8	34	6	3	0	1	0.75	1.0
1	3	10	1	6	0	0	1.0	1.0
1	4	20	12	3	0	1	0.75	1.0
1	7	34	12	2	0	3	0.4	1.0
1	2	10	6	3	0	1	0.75	1.0
1	9	34	1	4	0	0	1.0	1.0
1	2	10	6	6	1	1	0.857142857143	0.857142857143
1	3	10	1	3	0	0	1.0	1.0
1	6	20	1	4	1	0	1.0	0.8
1	5	20	6	6	0	0	1.0	1.0
1	6	20	1	6	0	0	1.0	1.0
1	1	10	12	7	0	1	0.875	1.0
1	1	10	12	4	1	1	0.8	0.8
1	9	34	1	0	1	2	0.0	0.0
1	8	34	6	2	0	1	0.666666666667	1.0
1	5	20	6	5	0	0	1.0	1.0
1	7	34	12	7	0	0	1.0	1.0
2	1	10	12	1	0	4	0.2	1.0
2	3	10	1	3	0	5	0.375	1.0
2	4	20	12	0	0	4	0.0	0
2	9	34	1	0	0	5	0.0	0
2	8	34	6	4	0	0	1.0	1.0
2	3	10	1	2	0	5	0.285714285714	1.0
2	5	20	6	3	1	1	0.75	0.75
2	6	20	1	1	0	2	0.333333333333	1.0
2	4	20	12	0	0	3	0.0	0
2	2	10	6	6	0	0	1.0	1.0
2	7	34	12	3	0	0	1.0	1.0
2	7	34	12	4	0	1	0.8	1.0
2	9	34	1	5	0	1	0.833333333333	1.0
2	2	10	6	3	1	1	0.75	0.75
2	5	20	6	4	1	5	0.444444444444	0.8
2	8	34	6	2	0	3	0.4	1.0
2	6	20	1	5	0	0	1.0	1.0
2	1	10	12	3	0	5	0.375	1.0
3	3	10	1	7	0	0	1.0	1.0
3	8	34	6	7	0	1	0.875	1.0
3	6	20	1	7	0	0	1.0	1.0
3	2	10	6	4	0	1	0.8	1.0
3	2	10	6	6	0	0	1.0	1.0
3	5	20	6	5	0	0	1.0	1.0
3	7	34	12	1	1	3	0.25	0.5
3	1	10	12	3	0	1	0.75	1.0
3	4	20	12	7	0	0	1.0	1.0
3	4	20	12	7	0	0	1.0	1.0
3	6	20	1	5	0	0	1.0	1.0
3	8	34	6	6	0	0	1.0	1.0
3	5	20	6	7	1	1	0.875	0.875
3	9	34	1	1	0	6	0.142857142857	1.0
3	7	34	12	4	0	0	1.0	1.0
3	9	34	1	3	1	1	0.75	0.75
3	3	10	1	4	0	0	1.0	1.0
3	1	10	12	5	1	3	0.625	0.833333333333
4	4	20	12	4	0	0	1.0	1.0
4	6	20	1	5	1	1	0.833333333333	0.833333333333
4	2	10	6	3	0	0	1.0	1.0
4	8	34	6	3	0	0	1.0	1.0
4	9	34	1	5	0	0	1.0	1.0
4	5	20	6	5	0	0	1.0	1.0
4	7	34	12	4	0	0	1.0	1.0
4	1	10	12	2	1	4	0.333333333333	0.666666666667
4	4	20	12	4	0	0	1.0	1.0
4	6	20	1	4	0	0	1.0	1.0
4	8	34	6	3	0	0	1.0	1.0
4	7	34	12	5	0	2	0.714285714286	1.0
4	2	10	6	2	0	1	0.666666666667	1.0
4	3	10	1	4	0	1	0.8	1.0
4	3	10	1	5	0	0	1.0	1.0
4	9	34	1	3	1	1	0.75	0.75
4	1	10	12	6	0	4	0.6	1.0
4	5	20	6	6	0	0	1.0	1.0
5	3	10	1	4	0	0	1.0	1.0
5	7	34	12	4	1	1	0.8	0.8
5	2	10	6	4	1	2	0.666666666667	0.8
5	5	20	6	6	0	0	1.0	1.0
5	9	34	1	7	0	0	1.0	1.0
5	8	34	6	3	0	3	0.5	1.0
5	5	20	6	4	0	0	1.0	1.0
5	3	10	1	4	0	0	1.0	1.0
5	2	10	6	4	2	2	0.666666666667	0.666666666667
5	1	10	12	2	0	3	0.4	1.0
5	6	20	1	0	0	5	0.0	0
5	8	34	6	5	0	0	1.0	1.0
5	1	10	12	4	1	2	0.666666666667	0.8
5	4	20	12	2	2	2	0.5	0.5
5	7	34	12	6	1	1	0.857142857143	0.857142857143
5	4	20	12	1	0	2	0.333333333333	1.0
5	6	20	1	2	1	4	0.333333333333	0.666666666667
5	9	34	1	4	0	0	1.0	1.0
6	8	34	6	7	0	0	1.0	1.0
6	4	20	12	5	1	1	0.833333333333	0.833333333333
6	6	20	1	3	1	1	0.75	0.75
6	7	34	12	2	1	5	0.285714285714	0.666666666667
6	5	20	6	5	0	0	1.0	1.0
6	7	34	12	5	1	1	0.833333333333	0.833333333333
6	2	10	6	6	1	2	0.75	0.857142857143
6	1	10	12	3	0	0	1.0	1.0
6	6	20	1	4	1	1	0.8	0.8
6	4	20	12	7	0	0	1.0	1.0
6	1	10	12	4	0	4	0.5	1.0
6	9	34	1	6	1	1	0.857142857143	0.857142857143
6	3	10	1	0	0	4	0.0	0
6	3	10	1	4	0	0	1.0	1.0
6	8	34	6	4	1	1	0.8	0.8
6	9	34	1	8	0	0	1.0	1.0
6	2	10	6	6	1	1	0.857142857143	0.857142857143
6	5	20	6	3	0	2	0.6	1.0
